state,count
Alaska,112.0
Alabama,400.0
Arkansas,290.0
Arizona,949.0
California,25009.0
Colorado,818.0
Connecticut,298.0
District of Columbia,320.0
Delaware,5.0
Florida,4811.0
Georgia,1426.0
Guam,27.0
Hawaii,1219.0
Iowa,54.0
Idaho,80.0
Illinois,907.0
Indiana,158.0
Kansas,125.0
Kentucky,38.0
Louisiana,480.0
Massachusetts,241.0
Maryland,711.0
Maine,14.0
Michigan,311.0
Minnesota,291.0
Missouri,339.0
Northern Marina Islands,
Mississippi,166.0
Montana,131.0
North Carolina,648.0
North Dakota,18.0
Nebraska,56.0
New Hampshire,52.0
New Jersey,430.0
New Mexico,261.0
Nevada,477.0
New York,2345.0
Ohio,378.0
Oklahoma,219.0
Oregon,2600.0
Pennsylvania,533.0
Puerto Rico,1420.0
Rhode Island,10.0
South Carolina,460.0
South Dakota,26.0
Tennessee,844.0
Texas,2235.0
Utah,13.0
Virginia,339.0
US Virgin Islands,18.0
Vermont,55.0
Washington,1353.0
Wisconsin,84.0
West Virginia,160.0
Wyoming,51.0
Total,54815.0
