state,count
Alaska,1060.0
Alabama,1950.0
Arkansas,937.0
Arizona,3423.0
California,25022.0
Colorado,4719.0
Connecticut,1796.0
District of Columbia,2686.0
Delaware,563.0
Florida,10931.0
Georgia,4102.0
Guam,17.0
Hawaii,1258.0
Iowa,1396.0
Idaho,857.0
Illinois,4759.0
Indiana,3082.0
Kansas,1083.0
Kentucky,2386.0
Louisiana,1647.0
Massachusetts,5288.0
Maryland,3509.0
Maine,1244.0
Michigan,4715.0
Minnesota,2892.0
Missouri,2770.0
Northern Marina Islands,11.0
Mississippi,452.0
Montana,633.0
North Carolina,4129.0
North Dakota,650.0
Nebraska,1578.0
New Hampshire,638.0
New Jersey,4038.0
New Mexico,1147.0
Nevada,2721.0
New York,32890.0
Ohio,5494.0
Oklahoma,1992.0
Oregon,4293.0
Pennsylvania,6529.0
Puerto Rico,800.0
Rhode Island,733.0
South Carolina,1667.0
South Dakota,452.0
Tennessee,3883.0
Texas,8714.0
Utah,1604.0
Virginia,3049.0
US Virgin Islands,62.0
Vermont,600.0
Washington,6733.0
Wisconsin,2317.0
West Virginia,860.0
Wyoming,383.0
Total,193144.0
