state,count
Alaska,491.0
Alabama,808.0
Arkansas,399.0
Arizona,2459.0
California,21272.0
Colorado,3369.0
Connecticut,1180.0
District of Columbia,3890.0
Delaware,379.0
Florida,9422.0
Georgia,2752.0
Guam,637.0
Hawaii,2685.0
Iowa,1256.0
Idaho,728.0
Illinois,3904.0
Indiana,1815.0
Kansas,864.0
Kentucky,993.0
Louisiana,746.0
Massachusetts,11298.0
Maryland,2170.0
Maine,928.0
Michigan,3423.0
Minnesota,3769.0
Missouri,2269.0
Northern Marina Islands,464.0
Mississippi,372.0
Montana,542.0
North Carolina,2918.0
North Dakota,257.0
Nebraska,803.0
New Hampshire,680.0
New Jersey,3103.0
New Mexico,617.0
Nevada,552.0
New York,52113.0
Ohio,3407.0
Oklahoma,1375.0
Oregon,3519.0
Pennsylvania,5867.0
Puerto Rico,384.0
Rhode Island,378.0
South Carolina,1020.0
South Dakota,332.0
Tennessee,2172.0
Texas,6840.0
Utah,970.0
Virginia,2039.0
US Virgin Islands,12.0
Vermont,528.0
Washington,6331.0
Wisconsin,2382.0
West Virginia,277.0
Wyoming,251.0
Total,184411.0
