state,count
Alaska,1084.0
Alabama,2076.0
Arkansas,1089.0
Arizona,3824.0
California,24843.0
Colorado,3739.0
Connecticut,2124.0
District of Columbia,3277.0
Delaware,565.0
Florida,12033.0
Georgia,4783.0
Guam,23.0
Hawaii,1243.0
Iowa,1302.0
Idaho,832.0
Illinois,5599.0
Indiana,3353.0
Kansas,1191.0
Kentucky,2622.0
Louisiana,2053.0
Massachusetts,5814.0
Maryland,3987.0
Maine,1170.0
Michigan,5553.0
Minnesota,2987.0
Missouri,2640.0
Northern Marina Islands,
Mississippi,693.0
Montana,478.0
North Carolina,5372.0
North Dakota,591.0
Nebraska,1597.0
New Hampshire,666.0
New Jersey,5293.0
New Mexico,1237.0
Nevada,3646.0
New York,32172.0
Ohio,6590.0
Oklahoma,2111.0
Oregon,4048.0
Pennsylvania,7276.0
Puerto Rico,1029.0
Rhode Island,673.0
South Carolina,2465.0
South Dakota,506.0
Tennessee,4075.0
Texas,9234.0
Utah,1605.0
Virginia,3434.0
US Virgin Islands,56.0
Vermont,775.0
Washington,6200.0
Wisconsin,2647.0
West Virginia,1049.0
Wyoming,292.0
Total,205616.0
